SUBTAB,PERMISSION NAME,USAGE DESCRIPTION,MINIMUM SELECTABLE LEVEL,MINIMUM SYSTEM LEVEL,Column1
Lists,Supply Chain Snapshot List,Allows usage of the Supply Chain Predicted Risks Training Work Queue Status search.,View,,
Lists,Supply Chain Snapshot List,Allows usage of the Supply Chain Predicted Risks Training Work Queue Status task.,View,,
Lists,Supply Chain Snapshot List,Allows usage of the Supply Chain Predicted Risks search.,View,,
Lists,Supply Chain Snapshot List,Allows usage of the Supply Chain Snapshot Details search.,View,,
Lists,Supply Chain Snapshot List,Allows usage of the Supply Chain Snapshot Simulations task.,View,,
Lists,Supply Chain Snapshot List,Allows usage of the Supply Chain Snapshot search.,View,,
Lists,Supply Chain Snapshot List,Allows usage of the Supply Chain Snapshots task.,View,,
Lists,Supply Chain Snapshot List,Allows viewing and editing of the Supply Chain Snapshot Simulation record.,View,,
Lists,Supply Chain Snapshot List,Allows viewing and editing of the Supply Chain Snapshot record.,View,,
Lists,System Email Template,Allows usage of the Inactivate System Email Templates bulk operation.,Edit,,
Lists,System Email Template,Allows usage of the Search All System Email Templates task,View,,
Lists,System Email Template,Allows usage of the Set Up System Email Templates task.,View,,
Lists,System Email Template,Allows usage of the System Email Template search.,View,,
Lists,Tableau Workbook Export,Enables users to export saved search and report results in a format that is compatible with Tableau software. ,Create,,
Lists,Talent Administration,Allows usage of the Goal search.,View,,
Lists,Talent Administration,Allows usage of the Goals task.,View,,
Lists,Talent Administration,Allows usage of the New Goal task.,View,,
Lists,Talent Administration,Allows usage of the New Performance Metric task.,View,,
Lists,Talent Administration,Allows usage of the New Performance Review Schedule task.,View,,
Lists,Talent Administration,Allows usage of the New Performance Review task.,View,,
Lists,Talent Administration,Allows usage of the Performance Metric search.,View,,
Lists,Talent Administration,Allows usage of the Performance Metrics task.,View,,
Lists,Talent Administration,Allows usage of the Performance Review Schedule search.,View,,
Lists,Talent Administration,Allows usage of the Performance Review Schedules task.,View,,
Lists,Talent Administration,Allows usage of the Performance Review search.,View,,
Lists,Talent Administration,Allows usage of the Performance Reviews task.,View,,
Lists,Talent Administration,Allows usage of the Search Goal task.,View,,
Lists,Talent Administration,Allows usage of the Search Performance Review Schedule task.,View,,
Lists,Talent Administration,Allows usage of the Search Performance Review task.,View,,
Lists,Talent Administration,Allows usage of the Search for Performance Metric task.,View,,
Lists,Talent Administration,Allows viewing and editing of the Performance Metric record.,View,,
Lists,Talent Administration,Allows viewing and editing of the Performance Review Schedule record.,View,,
Lists,Talent Administration,Allows viewing and editing of the Performance Review record.,View,,
Lists,Tasks,Allows usage of Task record.,View,,
Lists,Tasks,Allows usage of the Delete Phone Calls bulk operation.,Full,,
Lists,Tasks,Allows usage of the Delete Tasks bulk operation.,Full,,
Lists,Tasks,Allows usage of the Mark Phone Calls Complete bulk operation.,Full,,
Lists,Tasks,Allows usage of the Mark Tasks Complete bulk operation.,Full,,
Lists,Tasks,Allows usage of the New Tasks task.,View,,
Lists,Tasks,Allows usage of the Search Tasks task.,View,,
Lists,Tasks,Allows usage of the Task bulk operation.,Full,,
Lists,Tasks,Allows usage of the Task reminder.,View,,
Lists,Tasks,Allows usage of the Task search.,View,,
Lists,Tasks,Allows usage of the Tasks task.,View,,
Lists,Tasks,Allows viewing and editing of the Task record.,View,,
Lists,Tax Details Tab,Allows overriding tax details.,View,,
Lists,Tax Records,Allows usage of the New Nexus task.,View,,
Lists,Tax Records,Allows usage of the New Tax Codes task.,View,,
Lists,Tax Records,Allows usage of the New Tax Groups task.,View,,
Lists,Tax Records,Allows usage of the New Tax Types task.,View,,
Lists,Tax Records,Allows usage of the Nexus search.,View,,
Lists,Tax Records,Allows usage of the Nexus task.,View,,
Lists,Tax Records,Allows usage of the Nexuses task.,View,,
Lists,Tax Records,Allows usage of the Search Nexus task.,View,,
Lists,Tax Records,Allows usage of the Search Tax Code task.,View,,
Lists,Tax Records,Allows usage of the Search Tax Detail task.,View,,
Lists,Tax Records,Allows usage of the Search Tax Group task.,View,,
Lists,Tax Records,Allows usage of the Set Up Taxes task.,View,,
Lists,Tax Records,Allows usage of the Search Tax Type task.,View,,
Lists,Tax Records,Allows usage of the Tax Code search.,View,,
Lists,Tax Records,Allows usage of the Tax Codes task.,View,,
Lists,Tax Records,Allows usage of the Tax Group search.,View,,
Lists,Tax Records,Allows usage of the Tax Groups task.,View,,
Lists,Tax Records,Allows usage of the Tax Type search.,View,,
Lists,Tax Records,Allows usage of the Tax Type task.,View,,
Lists,Tax Records,Allows usage of the Tax Types task.,View,,
Lists,Tax Records,Allows viewing and editing of the Nexus record.,View,,
Lists,Tax Records,Allows viewing and editing of the Sales Tax Item record.,View,,
Lists,Tax Records,Allows viewing and editing of the Setup Taxes record.,View,,
Lists,Tax Records,Allows viewing and editing of the State record.,View,,
Lists,Tax Records,Allows viewing and editing of the Tax Group record.,View,,
Lists,Tax Records,Allows viewing and editing of the Tax Type record.,View,,
Lists,Tax Schedules,Allows usage of the New Tax Schedule task.,View,,
Lists,Tax Schedules,Allows usage of the Tax Schedule search.,View,,
Lists,Tax Schedules,Allows usage of the Tax Schedules task.,View,,
Lists,Tax Schedules,Allows viewing and editing of the Tax Schedule record.,View,,
Lists,Tegata Accounts,Allows usage of the New Tegata Account task.,View,,
Lists,Tegata Accounts,Allows usage of the Tegata Accounts task.,View,,
Lists,Template Categories,Allows usage of the New Template Category task.,View,,
Lists,Template Categories,Allows usage of the Template Categories task.,View,,
Lists,Template Categories,Allows viewing and editing of the Template Category record.,View,,
Lists,Termination Reasons,Allows usage of the New Termination Reason task.,View,,
Lists,Termination Reasons,Allows usage of the Search Termination Reason task.,View,,
Lists,Termination Reasons,Allows usage of the Termination Reason search.,View,,
Lists,Termination Reasons,Allows usage of the Termination Reasons task.,View,,
Lists,Termination Reasons,Allows viewing and editing of the Termination Reason record.,View,,
Lists,Time Codes,Allows usage of the New Time Code task.,View,,
Lists,Time Codes,Allows usage of the Search Time Codes task.,View,,
Lists,Time Codes,Allows usage of the Time Code Subsidiary Mapping search.,View,,
Lists,Time Codes,Allows usage of the Time Code search.,View,,
Lists,Time Codes,Allows viewing and editing of the Subsidiary Mapping record.,View,,
Lists,Time Codes,Allows viewing and editing of the Time Code record.,View,,
Lists,Time-Off Administration,Allows usage of the Available Time-Off report component.,View,,
Lists,Time-Off Administration,Allows usage of the Available Time-Off report definition.,View,,
Lists,Time-Off Administration,Allows usage of the Available Time-Off task.,View,,
Lists,Time-Off Administration,Allows usage of the Customize Available Time-Off task.,View,,
Lists,Time-Off Administration,Allows usage of the Customize Time-Off Balance Details task.,View,,
Lists,Time-Off Administration,Allows usage of the Customize Time-Off Balance Summary task.,View,,
Lists,Time-Off Administration,Allows usage of the New Time-Off Change task.,View,,
Lists,Time-Off Administration,Allows usage of the New Time-Off Plan task.,View,,
Lists,Time-Off Administration,Allows usage of the New Time-Off Rule task.,View,,
Lists,Time-Off Administration,Allows usage of the New Time-Off Type task.,View,,
Lists,Time-Off Administration,Allows usage of the Search Time-Off Changes task.,View,,
Lists,Time-Off Administration,Allows usage of the Search Time-Off Plans task.,View,,
Lists,Time-Off Administration,Allows usage of the Search Time-Off Types task.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Balance Adjustments report component.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Balance Details report definition.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Balance Details task.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Balance Summary report definition.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Balance Summary task.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Changes task.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Plan search.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Plans task.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Request Details search.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Requests task.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Rule search.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Type search.,View,,
Lists,Time-Off Administration,Allows usage of the Time-Off Types task.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Day of Week record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Months of Year record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Time-Off Accrual Frequency record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Time-Off Accrual Type record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Time-Off Change record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Time-Off Plan record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Time-Off Request record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Time-Off Rule record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Time-Off Time Unit record.,View,,
Lists,Time-Off Administration,Allows viewing and editing of the Time-Off Type record.,View,,
Lists,Track Messages,Allows usage of the Message search.,View,,
Lists,Track Messages,Allows usage of the New Email task.,View,,
Lists,Track Messages,Allows viewing and editing of the Message record.,View,,
Lists,Unbilled Receivable Registers,Allows usage of the Unbilled Receivable Register task.,Create,,
Lists,Undelivered Emails,Allows usage of the Search Undelivered Emails task.,Create,,
Lists,Undelivered Emails,Allows usage of the Undelivered Emails search.,View,,
Lists,Undelivered Emails,Allows usage of the Undelivered Emails task.,View,,
Lists,Undelivered Emails,Allows viewing and editing of the Undelivered Email record.,View,,
Lists,Units,Allows usage of the New Units Of Measure task.,View,,
Lists,Units,Allows usage of the Search Unit of Measure task.,View,,
Lists,Units,Allows usage of the Units Of Measure task.,View,,
Lists,Units,Allows usage of the Units Type search.,View,,
Lists,Units,Allows viewing and editing of the Units Type record.,View,,
Lists,Upsell Assistant,Allows usage of the Upsell Popup task.,View,,
Lists,Upsell Wizard,Allows usage of the Upsell Manager task.,View,,
Lists,Vendors,Allows usage of the Inactivate Vendors bulk operation.,Full,,
Lists,Vendors,Allows usage of the New Vendors task.,View,,
Lists,Vendors,Allows usage of the Reformat Vendors Using First Name First bulk operation.,Edit,,
Lists,Vendors,Allows usage of the Reformat Vendors Using Last Name First bulk operation.,Edit,,
Lists,Vendors,Allows usage of the Search Vendor task.,View,,
Lists,Vendors,Allows usage of the Search Vendor-Subsidiary Relationship task.,View,,
Lists,Vendors,Allows usage of the Send Subscription Message to Vendors bulk operation.,Full,,
Lists,Vendors,Allows usage of the Vendor Currency Balance search.,View,,
Lists,Vendors,Allows usage of the Vendor bulk operation.,Full,,
Lists,Vendors,Allows usage of the Vendor search.,View,,
Lists,Vendors,Allows usage of the Vendor-Subsidiary Relationship search.,View,,
Lists,Vendors,Allows usage of the Vendors task.,View,,
Lists,Vendors,Allows usage of Vendor record.,View,,
Lists,Vendors,Allows viewing of the Vendor record.,View,,
Lists,Vendors,Allows editing of the Vendor record.,Edit,,
Lists,Vendors,Allows viewing and editing of the Vendor-Subsidiary relationship record.,View,,
Lists,Web Store Email Template,Allows usage of the New Web Store Email Template task.,View,,
Lists,Web Store Email Template,Allows usage of the Web Store Email Templates task.,View,,
Lists,Website (External) publisher,Allows usage of the Item Template task.,Full,,
Lists,Website (External) publisher,Allows usage of the Item/Category Templates task.,Full,,
Lists,Website (External) publisher,Allows usage of the New RSS Feed task.,Create,,
Lists,Website (External) publisher,Allows usage of the RSS Feeds task.,View,,
Lists,Website (External) publisher,Allows usage of the Web Site Hosting Files task.,View,,
Lists,Website (External) publisher,Allows usage of the WebSite Tag task.,Full,,
Lists,Website (External) publisher,Allows usage of the WebSite Tags task.,Full,,
Lists,Website (External) publisher,Allows usage of the WebSite Theme task.,Full,,
Lists,Website (External) publisher,Allows usage of the WebSite Themes task.,Full,,
Lists,Work Breakdown Structure,Allows usage of the Create Work Breakdown Structure task.,View,,
Lists,Work Breakdown Structure,Allows usage of the Search Work Breakdown Structure task.,View,,
Lists,Work Breakdown Structure,Allows usage of the Work Breakdown Structure search.,View,,
Lists,Work Breakdown Structure,Allows viewing and editing of the Wbs Line record.,View,,
Lists,Work Breakdown Structure,Allows viewing and editing of the Wbs record.,View,,
Lists,Work Calendar,Allows usage of the New Work Calendar task.,View,,
Lists,Work Calendar,Allows usage of the Search Work Calendar task.,View,,
Lists,Work Calendar,Allows usage of the Work Calendar search.,View,,
Lists,Work Calendar,Allows usage of the Work Calendars task.,View,,
Lists,Work Calendar,Allows viewing and editing of the Work Calendar record.,View,,
Lists,Workplaces,Allows usage of the New Workplaces task.,View,,
Lists,Workplaces,Allows usage of the Search Workplace task.,View,,
Lists,Workplaces,Allows usage of the Workplace search.,View,,
Lists,Workplaces,Allows usage of the Workplaces task.,View,,
Lists,Zone,Allows usage of the Zones task.,View,,
Lists,Zone,Allows usage of the New Zone task.,View,,
Lists,Zone,Allows usage of the Search Zone task.,View,,
Lists,Zone,Allows usage of the Zone search.,View,,
Lists,Zone,Allows usage of the Zones task.,View,,
Lists,Zone,Allows viewing and editing of the Zone record.,View,,
Reports,Account Detail,Allows usage of the Vendor Register Transactions report component.,View,,
Reports,Account Detail,Allows usage of the Account Detail report definition.,View,,
Reports,Account Detail,Allows usage of the Account Detail task.,View,,
Reports,Account Detail,Allows usage of the Customize Account Detail task.,View,,
Reports,Account Detail,Allows usage of the Transactions report component.,View,,
Reports,Account Detail,Allows viewing of the Account Detail report.,View,,
Reports,Accounts Payable,Allows usage of the A/P Aging Detail report definition.,View,,
Reports,Accounts Payable,Allows usage of the A/P Aging Detail task.,View,,
Reports,Accounts Payable,Allows usage of the A/P Aging Summary report definition.,View,,
Reports,Accounts Payable,Allows usage of the A/P Aging task.,View,,
Reports,Accounts Payable,Allows usage of the A/P Balance snapshot.,View,,
Reports,Accounts Payable,Allows usage of the A/P Payment History by Bill report definition.,View,,
Reports,Accounts Payable,Allows usage of the A/P Payment History by Bill task.,View,,
Reports,Accounts Payable,Allows usage of the A/P Payment History by Payment report definition.,View,,
Reports,Accounts Payable,Allows usage of the A/P Payment History by Payment task.,View,,
Reports,Accounts Payable,Allows usage of the Customize A/P Aging Detail task.,View,,
Reports,Accounts Payable,Allows usage of the Customize A/P Aging Summary task.,View,,
Reports,Accounts Payable,Allows usage of the Customize Open Bills task.,View,,
Reports,Accounts Payable,Allows usage of the Days Overdue snapshot.,View,,
Reports,Accounts Payable,Allows usage of the Open Bills report definition.,View,,
Reports,Accounts Payable,Allows usage of the Open Bills task.,View,,
Reports,Accounts Payable,Allows usage of the Open Payables report component.,View,,
Reports,Accounts Payable,Allows usage of the Overdue Balance snapshot.,View,,
Reports,Accounts Payable,Allows viewing of the A/P Aging Detail report.,View,,
Reports,Accounts Payable,Allows viewing of the A/P Aging Summary report.,View,,
Reports,Accounts Payable Graphing,Permission is no longer in use.,,,
Reports,Accounts Receivable,Allows usage of the A/R Aging Detail report definition.,View,,
Reports,Accounts Receivable,Allows usage of the A/R Aging Detail task.,View,,
Reports,Accounts Receivable,Allows usage of the A/R Aging Summary report definition.,View,,
Reports,Accounts Receivable,Allows usage of the A/R Aging task.,View,,
Reports,Accounts Receivable,Allows usage of the A/R Payment History by Invoice report definition.,View,,
Reports,Accounts Receivable,Allows usage of the A/R Payment History by Invoice task.,View,,
Reports,Accounts Receivable,Allows usage of the A/R Payment History by Payment report definition.,View,,
Reports,Accounts Receivable,Allows usage of the A/R Payment History by Payment task.,View,,
Reports,Accounts Receivable,Allows usage of the Amount Paid report component.,View,,
Reports,Accounts Receivable,Allows usage of the Customize A/R Aging Detail task.,View,,
Reports,Accounts Receivable,Allows usage of the Customize A/R Aging Summary task.,View,,
Reports,Accounts Receivable,Allows usage of the Customize Items Pending Fulfillment task.,View,,
Reports,Accounts Receivable,Allows usage of the Customize Receivables by Customer task.,View,,
Reports,Accounts Receivable,Allows usage of the Customize Sales Orders Register task.,View,,
Reports,Accounts Receivable,Allows usage of the Installment Amount Paid report component.,View,,
Reports,Accounts Receivable,Allows usage of the Open Invoices report component.,View,,
Reports,Accounts Receivable,Allows usage of the Receivables by Customer report definition.,View,,
Reports,Accounts Receivable,Allows usage of the Receivables by Customer task.,View,,
Reports,Accounts Receivable,Allows usage of the Unpaid Receivables report component.,View,,
Reports,Accounts Receivable,Allows usage of the Unpaid Receivables Transactions report component.,View,,
Reports,Accounts Receivable,Allows usage of the Unused Credits report component.,View,,
Reports,Accounts Receivable,Allows viewing of the A/R Aging Detail report.,View,,
Reports,Accounts Receivable,Allows viewing of the A/R Aging Summary report.,View,,
Reports,Accounts Receivable Graphing,Permission is no longer in use.,,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Customize Unbilled Cost by Customer Detail task.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Customize Unbilled Cost by Customer Summary task.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Customize Unbilled Time by Customer Detail task.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Customize Unbilled Time by Customer Summary task.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Cost by Customer Detail report definition.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Cost by Customer Summary report definition.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Cost by Customer Detail task.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Cost by Customer task.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Cost Transactions report component.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Time by Customer Detail report definition.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Time by Customer Summary report definition.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Time by Customer Detail task.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Time by Customer task.,View,,
Reports,Accounts Receivable Un-Billed,Allows usage of the Unbilled Time Transactions report component.,View,,
Reports,Accounts Receivable Un-Billed,Allows viewing of the Unbilled Cost Detail by Job report.,View,,
Reports,Accounts Receivable Un-Billed,Allows viewing of the Unbilled Cost Summary by Job report.,View,,
Reports,Accounts Receivable Un-Billed,Allows viewing of the Unbilled Time Detail by Job report.,View,,
Reports,Accounts Receivable Un-Billed,Allows viewing of the Unbilled Time Summary by Job report.,View,,
Reports,Amortization Reports,Allows usage of the Amortization Forecast Detail report definition.,View,,
Reports,Amortization Reports,Allows usage of the Amortization Forecast Detail task.,View,,
Reports,Amortization Reports,Allows usage of the Amortization Forecast Summary report definition.,View,,
Reports,Amortization Reports,Allows usage of the Amortization Forecast task.,View,,
Reports,Amortization Reports,Allows usage of the Customize Amortization Forecast Detail task.,View,,
Reports,Amortization Reports,Allows usage of the Customize Amortization Forecast Summary task.,View,,
Reports,Amortization Reports,Allows usage of the Customize Deferred / Capitalized Expense task.,View,,
Reports,Amortization Reports,Allows usage of the Customize Expense Amortization Forecast Detail task.,View,,
Reports,Amortization Reports,Allows usage of the Customize Expense Amortization Forecast Summary task.,View,,
Reports,Amortization Reports,Allows usage of the Deferred / Capitalized Expense report definition.,View,,
Reports,Amortization Reports,Allows usage of the Deferred / Capitalized Expense task.,View,,
Reports,Amortization Reports,Allows usage of the Expense Amortization Forecast Detail report definition.,View,,
Reports,Amortization Reports,Allows usage of the Expense Amortization Forecast Detail task.,View,,
Reports,Amortization Reports,Allows usage of the Expense Amortization Forecast Summary report definition.,View,,
Reports,Amortization Reports,Allows usage of the Expense Amortization Forecast task.,View,,
Reports,Amortization Reports,Allows viewing of the Amortization Forecast Detail report.,View,,
Reports,Amortization Reports,Allows viewing of the Amortization Forecast Summary report.,View,,
Reports,Amortization Reports,Allows viewing of the Deferred / Capitalized Expense report.,View,,
Reports,Amortization Reports,Allows viewing of the Expense Amortization Forecast Detail report.,View,,
Reports,Amortization Reports,Allows viewing of the Expense Amortization Forecast Summary report.,View,,
Reports,Balance Sheet,Allows usage of the Account Balance report component.,View,,
Reports,Balance Sheet,Allows usage of the Consolidated Account Balance report component.,View,,
Reports,Balance Sheet,Allows usage of the Fast Account Balance report component.,View,,
Reports,Balance Sheet,Allows usage of the Japanese Balance Sheet task.,View,,
Reports,Balance Sheet,Allows viewing of the Sales Tax Liability By Tax Agency report.,View,,
Reports,Budget,Permission is no longer in use.,,,
Reports,Cash Flow Statement,Allows usage of the Cash At Beginning report component.,View,,
Reports,Cash Flow Statement,Allows usage of the Net Cash Flow snapshot.,View,,
Reports,Cash Flow Statement,Allows usage of the Operating Cash Flow snapshot.,View,,
Reports,Commission Reports,Allows usage of the Commission Overview report definition.,View,,
Reports,Commission Reports,Allows usage of the Commissions Pending Authorization Detail report definition.,View,,
Reports,Commission Reports,Allows usage of the Commissions Pending Authorization Summary report definition.,View,,
Reports,Commission Reports,Allows usage of the Authorized Commission Detail report definition.,View,,
Reports,Commission Reports,Allows usage of the Authorized Commission Summary report definition.,View,,
Reports,Commission Reports,Allows usage of the Authorized Commission Detail task.,View,,
Reports,Commission Reports,Allows usage of the Authorized Commission snapshot.,View,,
Reports,Commission Reports,Allows usage of the Authorized Commission task.,View,,
Reports,Commission Reports,Allows usage of the Commission Calculation History report component.,View,,
Reports,Commission Reports,Allows usage of the Commission Calculation History report definition.,View,,
Reports,Commission Reports,Allows usage of the Commission Overview Detail report component.,View,,
Reports,Commission Reports,Allows usage of the Commission Overview Detail report definition.,View,,
Reports,Commission Reports,Allows usage of the Commission Overview Detail task.,View,,
Reports,Commission Reports,Allows usage of the Commission Overview task.,View,,
Reports,Commission Reports,Allows usage of the Commissions Pending Authorization Detail task.,View,,
Reports,Commission Reports,Allows usage of the Commissions Pending Authorization task.,View,,
Reports,Commission Reports,Allows usage of the Customize Authorized Commissions Detail task.,View,,
Reports,Commission Reports,Allows usage of the Customize Authorized Commissions Summary task.,View,,
Reports,Commission Reports,Allows usage of the Customize Commission Overview Detail task.,View,,
Reports,Commission Reports,Allows usage of the Customize Commission Overview task.,View,,
Reports,Commission Reports,Allows usage of the Customize Commissions Pending Authorization Detail task.,View,,
Reports,Commission Reports,Allows usage of the Customize Commissions Pending Authorization Summary task.,View,,
Reports,Commission Reports,Allows usage of the Customize Estimated Commissions Detail task.,View,,
Reports,Commission Reports,Allows usage of the Customize Estimated Commissions Summary task.,View,,
Reports,Commission Reports,Allows usage of the Customize Paid Employee Commission Detail task.,View,,
Reports,Commission Reports,Allows usage of the Customize Paid Employee Commission Summary task.,View,,
Reports,Commission Reports,Allows usage of the Estimated Commission Detail report definition.,View,,
Reports,Commission Reports,Allows usage of the Estimated Commission Summary report definition.,View,,
Reports,Commission Reports,Allows usage of the Estimated Commission Detail task.,View,,
Reports,Commission Reports,Allows usage of the Estimated Commission snapshot.,View,,
Reports,Commission Reports,Allows usage of the Estimated Commission task.,View,,
Reports,Commission Reports,Allows usage of the Job Status task.,Edit,,
Reports,Commission Reports,Allows usage of the Paid Commission Detail report definition.,View,,
Reports,Commission Reports,Allows usage of the Paid Commission Summary report definition.,View,,
Reports,Commission Reports,Allows usage of the Paid Commission snapshot.,View,,
Reports,Commission Reports,Allows usage of the Paid Employee Commission Detail task.,View,,
Reports,Commission Reports,Allows usage of the Paid Employee Commission task.,View,,
Reports,Commission Reports,Allows viewing of the Authorized Commissions Detail report.,View,,
Reports,Commission Reports,Allows viewing of the Authorized Commissions Summary report.,View,,
Reports,Commission Reports,Allows viewing of the Commission Calculation History report.,View,,
Reports,Commission Reports,Allows viewing of the Commission Overview report.,View,,
Reports,Commission Reports,Allows viewing of the Commissions Pending Authorization Detail report.,View,,
Reports,Commission Reports,Allows viewing of the Commissions Pending Authorization Summary report.,View,,
Reports,Commission Reports,Allows viewing of the Estimated Commissions Detail report.,View,,
Reports,Commission Reports,Allows viewing of the Estimated Commissions Summary report.,View,,
Reports,Commission Reports,Allows viewing of the Paid Commissions Detail report.,View,,
Reports,Commission Reports,Allows viewing of the Paid Commissions Summary report.,View,,
Reports,Deferred Expense Reports,Allows usage of the Customize Deferred Expense Rollforward By Entity Summary task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Customize Deferred Expense Rollforward Transaction Details task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Customize Deferred Expense Rollforward task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Customize Deferred Expense Waterfall Detail task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Customize Deferred Expense Waterfall Summary task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Rollforward By Entity Summary report definition.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Rollforward By Entity Summary task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Rollforward Measure report component.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Rollforward Summary report definition.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Rollforward Transaction Details report definition.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Rollforward Transaction Details task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Rollforward task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Waterfall Detail report definition.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Waterfall Detail task.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Waterfall Summary report component.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Waterfall Summary report definition.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Waterfall report component.,View,,
Reports,Deferred Expense Reports,Allows usage of the Deferred Expense Waterfall task.,View,,
Reports,Deferred Expense Reports,Allows viewing of the Deferred Expense Rollforward By Entity report.,View,,
Reports,Deferred Expense Reports,Allows viewing of the Deferred Expense Rollforward Transaction Details report.,View,,
Reports,Deferred Expense Reports,Allows viewing of the Deferred Expense Rollforward report.,View,,
Reports,Deferred Expense Reports,Allows viewing of the Deferred Expense Waterfall Detail report.,View,,
Reports,Deferred Expense Reports,Allows viewing of the Deferred Expense Waterfall Summary report.,View,,
Reports,Employee Reminders,Allows usage of the Employee reminder.,View,,
Reports,Employee Reminders,Allows usage of the Imported Expenses Waiting reminder.,View,,
Reports,Expenses,Permission is no longer in use.,,,
Reports,Financial Statements,Allows usage of the Aggregated Financial Data search.,View,,
Reports,Financial Statements,Allows usage of the Balance Sheet Detail report definition.,View,,
Reports,Financial Statements,Allows usage of the Balance Sheet Detail task.,View,,
Reports,Financial Statements,Allows usage of the Balance Sheet report definition.,View,,
Reports,Financial Statements,Allows usage of the Balance Sheet task.,View,,
Reports,Financial Statements,Allows usage of the Budget Income Statement Detail report definition.,View,,
Reports,Financial Statements,Allows usage of the Budget Income Statement Detail task.,View,,
Reports,Financial Statements,Allows usage of the Budget Income Statement report definition.,View,,
Reports,Financial Statements,Allows usage of the Budget Income Statement task.,View,,
Reports,Financial Statements,Allows usage of the Budget vs. Actual report definition.,View,,
Reports,Financial Statements,Allows usage of the Budget vs. Actual task.,View,,
Reports,Financial Statements,Allows usage of the CTA Balance Audit report component.,View,,
Reports,Financial Statements,Allows usage of the CTA Balance Audit report definition.,View,,
Reports,Financial Statements,Allows usage of the CTA Balance Audit task.,View,,
Reports,Financial Statements,Allows usage of the Cash Flow Statement report definition.,View,,
Reports,Financial Statements,Allows usage of the Cash Flow Statement task.,View,,
Reports,Financial Statements,Allows usage of the Cash Statement Detail report definition.,View,,
Reports,Financial Statements,Allows usage of the Cash Statement Detail task.,View,,
Reports,Financial Statements,Allows usage of the Cash Statement report definition.,View,,
Reports,Financial Statements,Allows usage of the Cash Statement task.,View,,
Reports,Financial Statements,Allows usage of the Comparative Balance Sheet report definition.,View,,
Reports,Financial Statements,Allows usage of the Comparative Balance Sheet task.,View,,
Reports,Financial Statements,Allows usage of the Comparative Income Statement report definition.,View,,
Reports,Financial Statements,Allows usage of the Comparative Income Statement task.,View,,
